2025-07-07 17:20:20.395 [main] INFO  generationz.zlog.ZLogApplication - Started ZLogApplication in 1.342 seconds (process running for 1.719)
2025-07-07 17:20:25.308 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-07 17:20:25.308 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-07 17:20:25.309 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-07-07 17:23:06.357 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-07 17:23:06.375 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-07 17:23:08.338 [main] INFO  generationz.zlog.ZLogApplication - Starting ZLogApplication using Java 17.0.14 with PID 65309 (/Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log/target/classes started by skippy in /Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log)
2025-07-07 17:23:08.339 [main] DEBUG generationz.zlog.ZLogApplication - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-07-07 17:23:08.339 [main] INFO  generationz.zlog.ZLogApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-07 17:23:09.115 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-07 17:23:09.120 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-07 17:23:09.121 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-07 17:23:09.121 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-07 17:23:09.141 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
